iso3c,Country,system,feed_item,tonnes
AUS,Australia,salmon_aquaculture_meat,forage fish,28732.003240500257
AUS,Australia,salmon_aquaculture_meat,forage fish,27099.503056380927
CAN,Canada,salmon_aquaculture_meat,forage fish,11410.102488242894
CAN,Canada,salmon_aquaculture_meat,forage fish,10761.801210501819
CAN,Canada,salmon_aquaculture_meat,forage fish,36602.91027780857
CAN,Canada,salmon_aquaculture_meat,forage fish,34523.199466569444
CHL,Chile,salmon_aquaculture_meat,forage fish,97.0349559942709
CHL,Chile,salmon_aquaculture_meat,forage fish,91.52160622186916
CHL,Chile,salmon_aquaculture_meat,forage fish,337864.12410031754
CHL,Chile,salmon_aquaculture_meat,forage fish,318667.298867345
DNK,Denmark,salmon_aquaculture_meat,forage fish,773.4581511300609
DNK,Denmark,salmon_aquaculture_meat,forage fish,729.5116652703982
FRO,Faroe Islands,salmon_aquaculture_meat,forage fish,35463.454919081916
FRO,Faroe Islands,salmon_aquaculture_meat,forage fish,33448.48588958862
ISL,Iceland,salmon_aquaculture_meat,forage fish,13691.405344307948
ISL,Iceland,salmon_aquaculture_meat,forage fish,12913.484586108636
IRL,Ireland,salmon_aquaculture_meat,forage fish,5131.137322187568
IRL,Ireland,salmon_aquaculture_meat,forage fish,4839.595428881458
PRK,North Korea,salmon_aquaculture_meat,forage fish,23.92138611742456
PRK,North Korea,salmon_aquaculture_meat,forage fish,22.562216451661804
NOR,Norway,salmon_aquaculture_meat,forage fish,553554.3664189746
NOR,Norway,salmon_aquaculture_meat,forage fish,522102.4137815331
RUS,Russia,salmon_aquaculture_meat,forage fish,4327.777438410727
RUS,Russia,salmon_aquaculture_meat,forage fish,4081.8809930464813
CHE,Switzerland,salmon_aquaculture_meat,forage fish,63.551149118624586
CHE,Switzerland,salmon_aquaculture_meat,forage fish,59.94028837324821
ARE,United Arab Emirates,salmon_aquaculture_meat,forage fish,119.60693058712282
ARE,United Arab Emirates,salmon_aquaculture_meat,forage fish,112.81108225830903
GBR,United Kingdom,salmon_aquaculture_meat,forage fish,71028.11570250677
GBR,United Kingdom,salmon_aquaculture_meat,forage fish,66992.42731031889
USA,United States,salmon_aquaculture_meat,forage fish,6574.601603285201
USA,United States,salmon_aquaculture_meat,forage fish,6201.044694007635
