"CommonName","TaxonName"
"Atlantic mackerel","Scomber scombrus"
"European pilchard","Sardina pilchardus"
"Skipjack tuna","Katsuwonus pelamis"
"Albacore","Thunnus alalunga"
"Yellowfin tuna","Thunnus albacares"
"European anchovy","Engraulis encrasicolus"
"Sardinella","Sardinella"
"Chub mackerel","Scomber japonicus"
"Anchovies","Engraulidae"
"Atlantic herring","Clupea harengus"
"Atlantic cod","Gadus morhua"
"Brazilian sardinella","Sardinella brasiliensis"
"Capelin","Mallotus villosus"
"Alaska pollack","Theragra chalcogramma"
"Anchoveta","Engraulis ringens"
"Japanese anchovy","Engraulis japonicus"
"Round sardinella","Sardinella aurita"
"Madeiran sardinella","Sardinella maderensis"
"Blue whiting","Micromesistius poutassou"
"Pacific anchoveta","Cetengraulis mysticetus"
"Tuna","Thunnus"
"Indo-Pacific anchovies","Stolephorus"
"Herrings sardines anchovies","Clupeoids"
"Californian anchovy","Engraulis mordax"
"Cape anchovy","Engraulis capensis"
"Atlantic anchoveta","Cetengraulis edentulus"
