"spp_type","iucn_id"
"amphibians",136073
"amphibians",56667
"amphibians",58183
"amphibians",58416
"amphibians",58752
"amphibians",10305
"amphibians",10351
"amphibians",12150
"amphibians",1282
"amphibians",135995
"amphibians",136111
"amphibians",136138
"amphibians",153568
"amphibians",153569
"amphibians",16498
"amphibians",19180
"amphibians",195858
"amphibians",195859
"amphibians",195860
"amphibians",3179
"amphibians",3442
"amphibians",41062
"amphibians",41076
"amphibians",41093
"amphibians",41098
"amphibians",41115
"amphibians",41123
"amphibians",41174
"amphibians",41179
"amphibians",41190
"amphibians",41192
"amphibians",41200
"amphibians",54450
"amphibians",54451
"amphibians",54474
"amphibians",54641
"amphibians",54656
"amphibians",54800
"amphibians",54906
"amphibians",54912
"amphibians",54915
"amphibians",54924
"amphibians",54939
"amphibians",54940
"amphibians",54986
"amphibians",55006
"amphibians",55013
"amphibians",55014
"amphibians",55018
"amphibians",55024
"amphibians",55032
"amphibians",55268
"amphibians",55286
"amphibians",55342
"amphibians",55367
"amphibians",55386
"amphibians",55557
"amphibians",55897
"amphibians",55918
"amphibians",56203
"amphibians",56312
"amphibians",56437
"amphibians",56814
"amphibians",56816
"amphibians",56855
"amphibians",56919
"amphibians",56938
"amphibians",56952
"amphibians",57000
"amphibians",57053
"amphibians",57054
"amphibians",57563
"amphibians",57571
"amphibians",57619
"amphibians",57624
"amphibians",57626
"amphibians",57646
"amphibians",57815
"amphibians",57837
"amphibians",57844
"amphibians",57848
"amphibians",57855
"amphibians",57878
"amphibians",57881
"amphibians",57892
"amphibians",57896
"amphibians",58003
"amphibians",58070
"amphibians",58129
"amphibians",58215
"amphibians",58224
"amphibians",58269
"amphibians",58287
"amphibians",58319
"amphibians",58329
"amphibians",58345
"amphibians",58346
"amphibians",58347
"amphibians",58349
"amphibians",58410
"amphibians",58413
"amphibians",58415
"amphibians",58418
"amphibians",58420
"amphibians",58436
"amphibians",58452
"amphibians",58479
"amphibians",58540
"amphibians",58559
"amphibians",58561
"amphibians",58575
"amphibians",58646
"amphibians",58695
"amphibians",58704
"amphibians",58710
"amphibians",58712
"amphibians",58734
"amphibians",58753
"amphibians",58786
"amphibians",58802
"amphibians",58842
"amphibians",58845
"amphibians",58859
"amphibians",58863
"amphibians",58867
"amphibians",58887
"amphibians",58890
"amphibians",58904
"amphibians",58907
"amphibians",58933
"amphibians",58944
"amphibians",58945
"amphibians",58949
"amphibians",58957
"amphibians",58972
"amphibians",58981
"amphibians",58987
"amphibians",59003
"amphibians",59014
"amphibians",59017
"amphibians",59023
"amphibians",59031
"amphibians",59033
"amphibians",59036
"amphibians",59116
"amphibians",59245
"amphibians",59454
"amphibians",59473
"amphibians",59474
"amphibians",59481
"amphibians",61881
"amphibians",61882
"amphibians",79101734
"birds",103779283
"birds",103779317
"birds",106000073
"birds",22687746
"birds",22693112
"birds",22714751
"birds",22714763
"birds",22720543
"birds",22735899
"birds",103693796
"birds",103776636
"birds",103793989
"birds",103794018
"birds",103890729
"birds",22686919
"birds",22686928
"birds",22687652
"birds",22687655
"birds",22690553
"birds",22690557
"birds",22695527
"birds",22695599
"birds",22698694
"birds",22714085
"birds",22714559
"birds",22715392
"birds",22721240
"birds",22723625
"birds",22726874
"birds",22726883
"birds",22728199
"birds",22728206
"birds",45400973
"birds",61197713
"birds",61214753
"birds",61214775
"birds",61741628
"birds",61815999
"birds",61816442
"birds",62290590
"mammals",11616
"mammals",136199
"mammals",136272
"mammals",136288
"mammals",136622
"mammals",136814
"mammals",15004
"mammals",17602
"mammals",18125
"mammals",18146
"mammals",20059
"mammals",2155
"mammals",41562
"mammals",41565
"mammals",60354712
"mammals",85200388
"reptiles",10335
"reptiles",110167262
"reptiles",120683982
"reptiles",169746
"reptiles",169752
"reptiles",169757
"reptiles",169761
"reptiles",169762
"reptiles",169773
"reptiles",169807
"reptiles",169833
"reptiles",169838
"reptiles",169844
"reptiles",169858
"reptiles",169897
"reptiles",169900
"reptiles",169905
"reptiles",169909
"reptiles",17450332
"reptiles",178501
"reptiles",178519
"reptiles",195300
"reptiles",195307
"reptiles",22888
"reptiles",42679109
"reptiles",61501
